,gp_name,n_source_genes,n_non_zero_source_genes,n_target_genes,n_non_zero_target_genes,gp_source_genes,gp_target_genes,gp_source_genes_weights_sign_corrected,gp_target_genes_weights_sign_corrected,gp_source_genes_importances,gp_target_genes_importances
1521,L-Arginine_metabolite_enzyme_sensor_GP,10,0,6,0,"['Nos2', 'Gatm', 'Arg1', 'Arg2', 'Carns1', 'Nos1', 'Asl', 'Nos3', 'Adprh', 'Rars2']","['Slc7a1', 'Gprc6a', 'Slc38a4', 'Slc7a2', 'Avpr2', 'Slc7a3']","[0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0]","[0.0, -0.0, 0.0, 0.0, -0.0, 0.0]","[0.1642, 0.1214, 0.1095, 0.0904, 0.0535, 0.0421, 0.0242, 0.0195, 0.0066, 0.0003]","[0.2013, 0.0715, 0.0594, 0.0198, 0.0084, 0.008]"
1434,CELSR2_ligand_targetgenes_GP,1,0,5,0,['Celsr2'],"['Atf3', 'Id1', 'Ccnd1', 'Ahnak', 'Cdkn1a']",[-0.0],"[0.0, -0.0, 0.0, -0.0, -0.0]",[0.1559],"[0.4488, 0.1611, 0.1183, 0.0708, 0.045]"
1090,IGF1_ligand_targetgenes_GP,1,0,14,0,['Igf1'],"['Mtnr1a', 'Glyat', 'Nxf3', 'Gnrh1', 'Th', 'Agt', 'Sox1', 'Cald1', 'Epo', 'Col17a1', 'Pomc', 'Epb42', 'Tlr4', 'Ihh']",[0.0],"[-0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0]",[0.0711],"[0.1822, 0.1449, 0.1218, 0.1162, 0.0793, 0.0734, 0.0576, 0.0545, 0.0316, 0.0199, 0.0153, 0.0128, 0.0127, 0.0067]"
1465,Androstenedione_metabolite_enzyme_sensor_GP,26,0,1,0,"['Akr1c13', 'Srd5a3', 'Hsd3b6', 'Hsd3b1', 'Akr1d1', 'Akr1c19', 'Hsd17b6', 'Akr1c21', 'Srd5a2', 'Cyp11b2', 'Hsd3b2', 'Hsd17b2', 'Srd5a1', 'Akr1c6', 'Akr1c18', 'H2-Ke6', 'Hsd3b5', 'Akr1c20', 'Hsd17b3', 'Akr1c14', 'Hsd3b3', 'Akr1c12', 'Hsd3b4', 'Cyp11b1', 'Cyp17a1', 'Akr1cl']",['Ar'],"[0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0]",[-0.0],"[0.123, 0.0805, 0.0757, 0.0725, 0.064, 0.0597, 0.0518, 0.048, 0.046, 0.0454, 0.0398, 0.0379, 0.0372, 0.0348, 0.0314, 0.0268, 0.0232, 0.0165, 0.0142, 0.0133, 0.0075, 0.0059, 0.0057, 0.0039, 0.0006, 0.0006]",[0.0339]
1525,L-Cysteine_metabolite_enzyme_sensor_GP,14,0,2,0,"['Nfs1', 'Ppcs', 'Cdo1', 'Cars2', 'Got2', 'Lap3', 'Cth', 'Mocos', 'Gclc', 'Anpep', 'Cbs', 'Ggct', 'Pcyox1', 'Got1']","['Slc7a11', 'Slc43a2']","[0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0]","[-0.0, 0.0]","[0.1617, 0.1352, 0.1322, 0.1244, 0.071, 0.0693, 0.0536, 0.0388, 0.0379, 0.0378, 0.0275, 0.0139, 0.0042, 0.004]","[0.0841, 0.0044]"
1281,PTN_ligand_targetgenes_GP,1,0,6,0,['Ptn'],"['Fgf2', 'Itgb3', 'Anxa7', 'Th', 'Kdr', 'Il6']",[0.0],"[-0.0, -0.0, 0.0, 0.0, 0.0, 0.0]",[0.4405],"[0.2021, 0.1329, 0.0786, 0.0672, 0.0633, 0.0155]"
1553,Phosphate_metabolite_enzyme_sensor_GP,399,34,1,0,"['Pgam2', 'Dusp9', 'Dusp23', 'Mtap', 'Alpl', 'Cdc25a', 'Ppa1', 'Dcps', 'Ppm1g', 'Nudt5', 'Enoph1', 'Lhpp', 'Ppp1cc', 'Pnp', 'Ppp4c', 'Dusp1', 'Pgam1', 'Ppp5c', 'Pgp', 'Gapdh', 'Ptpn1', 'Pnpt1', 'Ublcp1', 'Suclg2', 'Upp1', 'Ddx18', 'Ptpn2', 'Mcm7', 'G3bp1', 'Psph', 'Ptp4a1', 'Acp1', 'Ruvbl1', 'Ppa2', 'Ythdc2', 'Wrn', 'Vps4b', 'Vps4a', 'Vps29', 'Vcp', 'Upp2', 'Ubash3b', 'Tymp', 'Ttl', 'Tpte', 'Tigar', 'Thtpa', 'Tdrd9', 'Synj2', 'Synj1', 'Supv3l1', 'Suclg1', 'Sucla2', 'Ssu72', 'Ssh3', 'Ssh2', 'Ssh1', 'Spast', 'Snrnp200', 'Smarcad1', 'Sgpp2', 'Sgpp1', 'Sepsecs', 'Sephs2', 'Sephs1', 'Ruvbl2', 'Rtel1', 'Rpap2', 'Rngtt', 'Rimklb', 'Rimkla', 'Recql5', 'Recql4', 'Recql', 'Rad54l2', 'Qrsl1', 'Pygm', 'Pygl', 'Pygb', 'Ptprz1', 'Ptpru', 'Ptprt', 'Ptprs', 'Ptprr', 'Ptprq', 'Ptpro', 'Ptprn2', 'Ptprm', 'Ptprk', 'Ptprj', 'Ptprh', 'Ptprg', 'Ptprf', 'Ptpre', 'Ptprd', 'Ptprc', 'Ptprb', 'Ptpra', 'Ptpn9', 'Ptpn7', 'Ptpn6', 'Ptpn5', 'Ptpn4', 'Ptpn3', 'Ptpn23', 'Ptpn22', 'Ptpn21', 'Ptpn18', 'Ptpn14', 'Ptpn13', 'Ptpn12', 'Ptpn11', 'Ptp4a3', 'Ptp4a2', 'Pten', 'Pptc7', 'Ppp6c', 'Ppp3cc', 'Ppp3cb', 'Ppp3ca', 'Ppp2cb', 'Ppp2ca', 'Ppp1cb', 'Ppp1ca', 'Ppm1n', 'Ppm1m', 'Ppm1l', 'Ppm1k', 'Ppm1j', 'Ppm1h', 'Ppm1f', 'Ppm1e', 'Ppm1d', 'Ppm1b', 'Ppm1a', 'Ppef2', 'Ppef1', 'Pnp2', 'Pnkp', 'Pif1', 'Phpt1', 'Phospho2', 'Phospho1', 'Phlpp2', 'Phlpp1', 'Pgam5', 'Pfkfb4', 'Pfkfb3', 'Pfkfb2', 'Pfkfb1', 'Pfas', 'Pdp2', 'Pdp1', 'Pcx', 'Pccb', 'Pcca', 'Paics', 'Otc', 'Oplah', 'Opa1', 'Ola1', 'Ocrl', 'Nudt4', 'Nudt3', 'Nudt18', 'Nudt11', 'Nudt10', 'Ntpcr', 'Nt5m', 'Nt5e', 'Nt5c2', 'Nt5c1b', 'Nt5c1a', 'Nt5c', 'Nsf', 'Nav2', 'Nans', 'Nanp', 'Mvd', 'Mtmr7', 'Mtmr6', 'Mtmr4', 'Mtmr3', 'Mtmr2', 'Mtmr1', 'Mtm1', 'Mthfs', 'Mthfd1l', 'Mthfd1', 'Mov10l1', 'Mov10', 'Minpp1', 'Mfn2', 'Mfn1', 'Mdp1', 'Mcm9', 'Mcm8', 'Mcm6', 'Mcm5', 'Mcm4', 'Mcm3', 'Mcm2', 'Mccc2', 'Mccc1', 'Mat2b', 'Mat2a', 'Mat1a', 'Lpin3', 'Lpin2', 'Lpin1', 'Katnal2', 'Katnal1', 'Katna1', 'Irgc1', 'Inppl1', 'Inpp5k', 'Inpp5j', 'Inpp5e', 'Inpp5d', 'Inpp5b', 'Inpp5a', 'Inpp4b', 'Inpp4a', 'Inpp1', 'Ino80', 'Impa2', 'Impa1', 'Ilkap', 'Ighmbp2', 'Ifih1', 'Hibch', 'Hfm1', 'Helq', 'Helb', 'Guf1', 'Gtf2f2', 'Gss', 'Glul', 'Gdpgp1', 'Gclc', 'Gatc', 'Gart', 'Gapdhs', 'G6pc3', 'G6pc2', 'Fpgs', 'Fignl1', 'Fbp2', 'Fbp1', 'Fancm', 'Eya4', 'Eya3', 'Eya2', 'Eya1', 'Ercc6l', 'Ercc3', 'Ercc2', 'Epm2a', 'Ephx2', 'Entpd8', 'Entpd6', 'Entpd5', 'Entpd3', 'Entpd2', 'Entpd1', 'Eif4a3', 'Eif4a2', 'Eif4a1', 'Dusp8', 'Dusp7', 'Dusp6', 'Dusp5', 'Dusp4', 'Dusp3', 'Dusp28', 'Dusp26', 'Dusp22', 'Dusp21', 'Dusp2', 'Dusp19', 'Dusp18', 'Dusp16', 'Dusp15', 'Dusp14', 'Dusp13', 'Dusp12', 'Dusp10', 'Dqx1', 'Dolpp1', 'Dnm3', 'Dnm2', 'Dnm1l', 'Dnm1', 'Dnajc6', 'Dna2', 'Dhx9', 'Dhx8', 'Dhx58', 'Dhx57', 'Dhx40', 'Dhx38', 'Dhx37', 'Dhx36', 'Dhx35', 'Dhx34', 'Dhx33', 'Dhx32', 'Dhx30', 'Dhx29', 'Dhx16', 'Dhx15', 'Ddx60', 'Ddx6', 'Ddx59', 'Ddx58', 'Ddx56', 'Ddx55', 'Ddx54', 'Ddx52', 'Ddx51', 'Ddx50', 'Ddx5', 'Ddx49', 'Ddx47', 'Ddx46', 'Ddx43', 'Ddx42', 'Ddx41', 'Ddx4', 'Ddx3y', 'Ddx3x', 'Ddx39b', 'Ddx31', 'Ddx28', 'Ddx27', 'Ddx25', 'Ddx24', 'Ddx23', 'Ddx21', 'Ddx20', 'Ddx19b', 'Ddx19a', 'Ddx17', 'Ddx11', 'Ddx10', 'Ddx1', 'D1Pas1', 'Ctps2', 'Ctps', 'Ctdspl', 'Ctdsp2', 'Ctdsp1', 'Ctdp1', 'Ctdnep1', 'Cps1', 'Chd9', 'Chd8', 'Chd7', 'Chd6', 'Chd5', 'Chd4', 'Chd3', 'Chd2', 'Chd1l', 'Chd1', 'Cftr', 'Cdkn3', 'Cdc25c', 'Cdc25b', 'Cdc14b', 'Cdc14a', 'Carns1', 'Cant1', 'Cad', 'Brip1', 'Bpnt1', 'Bpgm', 'Blm', 'Atrx', 'Atp13a5', 'Atp13a4', 'Atp13a3', 'Atp13a2', 'Atp13a1', 'Atad2', 'Atad1', 'Ascc3', 'Alppl2', 'Alpi', 'Aldh18a1', 'Akp3', 'Acyp2', 'Acyp1', 'Acp6', 'Acp5', 'Acp2', 'Acly', 'Acacb', 'Acaca']",['Slc20a2'],"[0.4822, 0.1434, -0.0525, -0.0487, -0.0465, -0.0312, -0.0292, -0.0271, -0.0248, -0.0245, -0.0209, -0.0208, -0.0183, -0.0157, -0.0139, 0.0136, -0.0135, -0.0134, -0.0123, -0.0122, -0.0121, -0.0107, -0.0059, -0.0052, 0.0048, -0.0048, -0.0031, -0.0029, -0.0026, 0.0021, -0.0017, -0.0013, -0.0012, -0.0004, 0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0]",[-0.0],"[0.4292, 0.1277, 0.0468, 0.0434, 0.0414, 0.0278, 0.026, 0.0242, 0.022, 0.0218, 0.0186, 0.0186, 0.0163, 0.0139, 0.0124, 0.0121, 0.012, 0.012, 0.011, 0.0109, 0.0108, 0.0095, 0.0053, 0.0046, 0.0043, 0.0043, 0.0027, 0.0026, 0.0023, 0.0019, 0.0015, 0.0012, 0.0011, 0.0003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0]
684,JAM2_ligand_receptor_GP,1,0,2,0,['Jam2'],"['Itgav', 'Itgb1']",[-0.0],"[0.0, 0.0]",[0.3544],"[0.6053, 0.0403]"
769,CRTAM_ligand_receptor_GP,1,0,1,0,['Crtam'],['Ildr2'],[0.0],[-0.0],[0.5318],[0.4682]
1319,CD6_ligand_targetgenes_GP,1,0,25,0,['Cd6'],"['Dusp1', 'Slc3a2', 'Stat3', 'Nme1', 'Rbbp7', 'Atp1b1', 'Ptges2', 'Bdnf', 'Smad7', 'Gapdh', 'Odc1', 'Etv4', 'Ccnd1', 'Lamc1', 'Sgk1', 'Nr1d1', 'Gabarap', 'Cirbp', 'Aldoa', 'Ccnd2', 'Ube2b', 'Junb', 'Id1', 'Fam46a', 'Pdgfb']",[0.0],"[0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0]",[0.0198],"[0.1326, 0.1135, 0.0836, 0.0705, 0.0629, 0.0578, 0.0539, 0.0518, 0.0489, 0.0454, 0.0391, 0.0365, 0.0361, 0.0287, 0.0278, 0.0218, 0.0188, 0.0176, 0.0084, 0.0076, 0.006, 0.0048, 0.0032, 0.0018, 0.0013]"
