0_n,0_p,0_l,1_n,1_p,1_l,2_n,2_p,2_l,3_n,3_p,3_l,4_n,4_p,4_l,5_n,5_p,5_l,6_n,6_p,6_l,7_n,7_p,7_l,8_n,8_p,8_l,9_n,9_p,9_l,10_n,10_p,10_l,11_n,11_p,11_l,12_n,12_p,12_l,13_n,13_p,13_l,14_n,14_p,14_l,15_n,15_p,15_l,16_n,16_p,16_l,17_n,17_p,17_l,18_n,18_p,18_l,19_n,19_p,19_l
CD9,0.0,2.0752602,ZEB2,0.0,1.4864684,C1QC,0.0,2.9065063,ACTA2,0.0,1.9267596,S100A4,0.0,1.9133581,EPCAM,0.0,2.2381296,CXCL12,0.0,1.3005677,KRT7,0.0,2.0522711,MMP2,0.0,1.4204345,PDGFRB,0.0,1.4905254,IL2RG,0.0,2.3893607,ABCC11,0.0,2.1114073,DSP,0.0,2.1819088,CD27,0.0,3.4992316,CXCL16,1.3916966366803074e-172,1.7880814,CD79A,7.01130023650747e-256,3.9724696,ALDH1A3,0.0,3.149867,KRT7,0.0,2.0230098,CYTIP,7.976238394942437e-104,1.6205801,SFRP1,1.3421713520840805e-126,1.9438238
CCND1,0.0,1.6818844,SFRP4,0.0,2.145936,IGSF6,0.0,2.7690275,ZEB2,0.0,1.5621961,CD3D,0.0,3.35555,FOXA1,0.0,2.1868796,IL2RG,0.0,1.6290478,MLPH,0.0,2.0224137,ENAH,0.0,1.2127082,ADH1B,0.0,2.0006025,CD69,0.0,2.8016393,AR,0.0,1.9502136,KRT16,0.0,4.6297283,SEC24A,0.0,1.8741028,CD86,8.525282607632669e-154,1.7894464,FAM107B,2.620999866444204e-228,1.4054397,DSP,0.0,1.6425633,MLPH,0.0,1.9040078,CD8B,1.7755901780580096e-99,2.9076738,CCDC80,3.5307846035948202e-84,1.4632602
CDH1,0.0,2.1129959,PTGDS,0.0,1.8665341,C1QA,0.0,2.860928,NOSTRIN,0.0,4.4881654,CD69,0.0,3.0324757,CDH1,0.0,1.9145387,CD69,0.0,2.1440458,LYPD3,0.0,1.9849975,TCF4,0.0,1.5216872,DPT,0.0,1.9224946,S100A4,0.0,1.7520481,SERHL2,0.0,1.9623896,ACTG2,0.0,1.6617494,CYTIP,0.0,1.9789958,SCD,6.114939593572126e-136,0.91400737,LTB,3.220947729113758e-228,3.0674813,KIT,0.0,3.7482634,TPD52,0.0,1.5989941,CD69,2.1548830594977489e-97,2.104506,CXCL12,5.533353097864544e-80,1.4361709
GATA3,0.0,2.0104222,BASP1,0.0,1.4147962,MNDA,0.0,3.0647166,HOXD9,0.0,5.2239385,CD247,0.0,3.3482206,KRT7,0.0,2.1283715,GPR183,0.0,1.6296973,ANKRD30A,0.0,1.7173944,CCDC80,4.306173779669909e-303,1.0572039,CEACAM6,0.0,1.1286252,CD3G,0.0,2.9631672,CD9,0.0,1.4966024,RUNX1,0.0,1.5875129,TNFRSF17,0.0,5.449974,SMS,1.383440505451646e-115,0.9752761,CYTIP,3.756686677235797e-225,1.6572728,CLDN4,0.0,2.0786722,LYPD3,0.0,1.8177917,CD3D,6.779720234208241e-84,2.0858967,EDNRB,1.5117986291631885e-77,2.1924613
MYO5B,0.0,2.2687275,ADH1B,0.0,2.5816095,PTPRC,0.0,1.6268915,HOXD8,0.0,2.143179,CD3G,0.0,3.1673746,CLDN4,0.0,2.5322192,CCL5,0.0,1.8466343,S100A14,0.0,1.8114644,ZEB2,1.8965857397041662e-295,0.99219835,CRISPLD2,0.0,1.3710057,CD3D,0.0,2.7493916,ENAH,0.0,1.3617015,TACSTD2,0.0,1.7125486,RAB30,0.0,2.760974,CD163,1.7506739943960845e-112,1.332443,ZEB2,2.2320982668563113e-161,0.98613966,CDH1,0.0,1.4888327,ANKRD30A,0.0,1.6676092,KRT7,4.953818018653782e-68,1.14898,ZEB2,1.6577054997566835e-64,1.1589587
CTTN,0.0,1.5716738,MEDAG,0.0,3.127485,HAVCR2,0.0,2.9928558,ZEB1,0.0,1.7967551,CCR7,0.0,3.8310132,LYPD3,0.0,2.0925176,CD4,0.0,1.2308152,GATA3,0.0,1.6465183,FBLIM1,5.674535636171598e-261,1.7637999,TCF4,1.850032255040428e-280,1.1009021,KLRC1,0.0,4.3173566,CDH1,0.0,1.5436183,KRT7,0.0,1.7318337,DERL3,0.0,5.4138846,C15orf48,3.411849667246445e-90,3.176034,CXCL12,9.715767989447285e-129,0.92481446,CD9,0.0,1.319321,SCD,0.0,1.6714343,CD247,1.2644264393465359e-67,1.9616036,AKR1C3,7.359470037266867e-61,3.3293283
AR,0.0,2.1447823,PDK4,0.0,1.3229352,CD86,0.0,2.7087831,PPARG,0.0,2.5102365,SELL,0.0,2.8174636,ERBB2,0.0,1.4647006,CD247,0.0,2.2348204,SCD,0.0,1.4976457,CCPG1,3.4701437146391166e-149,0.8022291,PDK4,4.663615308146323e-236,0.90375364,CD247,0.0,2.633508,CTTN,0.0,1.2371271,EGFR,0.0,2.0487547,VOPP1,0.0,1.1588062,CD83,2.227789776875999e-88,2.1365705,POLR2J3,1.426259738070398e-126,0.4742696,EPCAM,8.75735683526754e-295,1.3081809,ERBB2,0.0,1.3520911,IL7R,5.466018058442154e-67,1.2823938,CD14,8.909867100060101e-47,1.3645775
TCIM,0.0,1.8359112,DPT,0.0,2.1994014,ITGAX,0.0,3.1776857,CAVIN2,0.0,4.355029,LDHB,0.0,1.5569556,TFAP2A,0.0,2.2038884,SFRP4,0.0,1.615172,MYO5B,0.0,1.6332264,MYLK,2.810901591899263e-145,0.84256166,AQP1,6.924155399978197e-221,0.98559994,NKG7,2.6022018598279728e-288,4.244925,MDM2,0.0,1.1574659,DSC2,0.0,1.847164,TRIB1,9.204706762594035e-307,1.9723355,CD14,8.384664892005028e-84,1.2416885,LPXN,2.105985995852362e-123,1.5814306,SLC5A6,9.15722826972265e-282,1.7261475,EPCAM,0.0,1.7767843,KLRC1,5.61397053842958e-55,3.066264,EGFR,1.5042011645529778e-46,1.3761199
TRAF4,0.0,2.107624,TCF4,0.0,1.4911041,GLIPR1,0.0,1.7506808,BTNL9,0.0,4.936852,PRDM1,0.0,2.105724,FLNB,0.0,1.565568,CD3D,0.0,2.105529,FLNB,0.0,1.2794213,CAV1,3.8324125987454263e-144,0.8072894,SVIL,1.7678328298948763e-211,0.8550602,FAM107B,2.8505675589444954e-226,1.1236328,TRAF4,0.0,1.6352918,SVIL,2.916510984913577e-275,1.1248586,DUSP5,5.684308157578771e-284,2.214829,FGL2,1.4931582025668525e-78,0.99234533,GLIPR1,7.298610951722308e-110,1.2577704,KRT16,1.2336695999763417e-271,3.308074,FASN,2.5425775997549996e-293,1.539134,LPXN,2.5072723968325875e-53,1.4276351,CD163,3.3191064105880015e-36,1.1373739
TENT5C,0.0,1.606798,EDNRB,0.0,2.418365,SMAP2,0.0,1.5731747,ANKRD29,0.0,3.8466763,TCF7,0.0,3.050986,MZB1,0.0,2.3335493,CD3G,0.0,2.0689106,CLDN4,0.0,1.8634868,BASP1,1.456782158128298e-132,0.67105836,ZEB1,5.3695267299933794e-210,0.9438684,ADGRE5,3.1413132912039175e-221,1.7493898,MYO5B,0.0,1.439005,CAV1,3.6487908163416843e-208,1.0485687,IL2RG,1.3576571888247391e-280,1.4862962,MMP12,2.336192475618771e-70,5.0350833,TCF4,1.9603877061567013e-103,1.2447596,MYO5B,6.048000681336726e-260,1.3741283,KRT5,1.7043126357223391e-289,2.2683568,TUBA4A,6.582884952954275e-51,1.1426501,HOOK2,7.986309100808025e-33,1.6424576
NARS,0.0,1.2731154,SFRP1,0.0,1.1731805,ITGAM,0.0,2.9669204,CXCL12,0.0,1.2259424,SLAMF1,0.0,3.0518844,MYO5B,0.0,1.7533336,PTGDS,0.0,1.3122865,ESR1,0.0,2.3549044,IGF1,1.2464481237864478e-103,0.78964275,ERBB2,3.4418237062706894e-202,0.80885214,LPXN,2.188747506536269e-214,1.7056373,USP53,0.0,1.3755246,OXTR,2.0542044208213776e-184,3.8152158,CXCR4,2.8686315643069396e-233,1.166673,MNDA,2.0256870725803604e-62,1.3058649,BASP1,6.143658172212431e-96,0.9346005,ADAM9,5.220071515857586e-259,1.1363975,MZB1,1.327285025719118e-264,1.8610641,GATA3,3.4315561299838467e-44,0.79835606,MRC1,1.0135494603799242e-30,1.0639106
S100A14,0.0,1.6477342,LPL,0.0,2.244225,CD93,0.0,1.513991,PDGFRB,0.0,1.5303432,ERN1,0.0,2.0711803,SMS,0.0,1.4465098,FAM107B,0.0,1.0089084,ENAH,0.0,1.2323134,CTTN,3.413235921674142e-103,0.5278615,EGFR,1.557251363903569e-177,1.0282272,PRF1,1.2243307661856768e-199,3.5870194,NARS,0.0,1.0270966,S100A14,5.9264137403090166e-173,0.9811448,TIFA,3.5582214184208315e-202,1.9622931,TYROBP,1.0858522706139817e-61,1.9170114,ITM2C,4.52142271462124e-91,1.193144,ELF3,1.2973373313304103e-249,1.6283835,ACTG2,1.5418584420430853e-260,1.2033823,NKG7,1.1410069517150248e-42,3.0314636,MAP3K8,7.615337593484497e-30,1.2531939
ELF3,0.0,2.1691535,ZEB1,0.0,1.0885812,FCGR3A,0.0,2.417053,PDK4,0.0,1.24399,LTB,0.0,3.3849535,DSP,0.0,1.5811803,GZMA,0.0,1.9643412,AR,0.0,1.6764412,TCIM,1.8757927537205746e-98,0.5764158,TAC1,1.8866530796146604e-136,2.5026343,SERPINB9,5.021957048350414e-180,1.2697846,LYPD3,0.0,1.4394466,FOXC2,5.805832683612234e-164,3.646635,CCDC80,3.5081791422238815e-175,0.9687476,TPSAB1,1.0087690518750557e-56,2.5067976,CLECL1,1.4353574072014858e-81,3.5539162,DST,3.125574655673578e-237,0.9449854,ACTA2,2.2840958169175212e-257,1.2392514,KRT8,2.6994382142502924e-39,0.7927465,FSTL3,3.916740363912014e-28,1.7616094
MDM2,0.0,1.2266959,SVIL,0.0,0.9454542,MAP3K8,0.0,1.7255299,IL3RA,0.0,3.7360096,SMAP2,0.0,1.6634545,KLF5,0.0,2.155635,PRDM1,0.0,1.3361415,DSC2,0.0,1.6159785,FBLN1,1.424984415015564e-93,0.6008251,SERPINA3,7.252211983857975e-126,0.44936943,SLAMF7,1.189195758998682e-171,1.6724834,TENT5C,0.0,1.0583948,AQP1,1.61488398427827e-138,0.8534622,CXCL12,1.4016100048838108e-169,0.92404515,ITGAM,3.7492650339411964e-53,1.477044,TOMM7,2.7649447042267713e-79,0.35225973,FLNB,2.5605914480944372e-222,0.9768546,CDH1,7.487995871039021e-250,1.4030799,FAM107B,6.114648963573373e-30,0.70810246,DPT,6.265580126013252e-24,1.2904909
LYPD3,0.0,1.7354274,ITM2C,0.0,0.7600235,GPR183,0.0,1.2632806,EDNRB,0.0,2.347361,CTLA4,0.0,3.4550545,ABCC11,0.0,1.8538406,MMP2,0.0,0.9596744,ELF3,0.0,1.7612044,EGFR,2.2703871723799407e-90,0.866855,PTN,6.456647640422871e-123,0.69545877,GLIPR1,3.377590651370641e-144,1.189679,CCDC6,0.0,1.0054872,FBLIM1,4.352410140124041e-125,1.3996575,SLAMF1,6.415681883040835e-159,1.8396899,ERBB2,2.142413363193744e-45,0.415425,CD83,1.020587917663786e-74,2.328347,KRT8,1.0394383296672634e-221,1.093506,FOXA1,7.415142167316818e-249,1.5572877,PRF1,1.3743565405316914e-29,2.5915413,BTNL9,1.782583739583543e-21,2.002621
CCDC6,0.0,1.3439977,PCOLCE,0.0,2.2727919,CXCL12,0.0,0.94051445,ANGPT2,0.0,3.9229991,LPXN,0.0,1.9334589,ELF3,0.0,1.8872228,SLAMF1,0.0,1.9868326,TENT5C,0.0,1.3918523,FSTL3,1.168363321499266e-83,1.5741941,ANKRD30A,1.555155471156404e-116,0.5696607,ITM2C,1.1796943647539553e-127,1.0344129,ELF3,1.4397495355448189e-303,1.43919,SLC25A37,2.3806927122954982e-95,1.5342234,LUM,4.995487790559831e-139,0.9535428,ADAM9,2.7733090445164923e-35,0.5646778,CCR7,2.7031447670861433e-73,1.9679027,SLC25A37,1.3628460037887994e-219,2.1941886,CCND1,2.3008301459726547e-230,1.1876345,ADGRE5,7.352202981038822e-29,1.1972626,FBLN1,1.7536183269427914e-20,0.6128972
TACSTD2,0.0,1.4248679,AKR1C1,5.490943226748757e-278,1.8519831,TYROBP,0.0,2.8639615,FBLIM1,0.0,1.9855404,CCL5,7.287151875983403e-278,1.7068195,NARS,0.0,1.1607293,CTLA4,1.6551486173445168e-299,2.620293,CTTN,0.0,1.0363076,AQP1,4.768979580738277e-80,0.68603593,EDNRB,5.3349873794629335e-112,1.1041036,ERN1,5.445967808256586e-98,1.1657714,TMEM147,3.816028221744529e-298,0.9738376,ENAH,9.011119231426043e-94,0.61398005,PTGDS,1.3542881612723437e-128,0.988345,C1QA,3.4289189735864654e-30,0.80340326,LDHB,9.044125380153007e-66,0.81273466,JUP,1.5641457203613375e-217,1.4778497,MYH11,3.8287686420843447e-230,2.2179196,FOXA1,1.3952841673458908e-27,0.68027616,FAM49A,1.4568953929050864e-19,1.248891
SH3YL1,0.0,1.5604883,CD68,7.881630519863032e-263,0.6219527,CXCL16,0.0,1.5823358,FLNB,0.0,0.9764565,GZMA,5.2986579267080395e-252,2.1954503,HOOK2,0.0,2.127577,LDHB,2.0627671185775058e-284,0.9220465,TCIM,0.0,1.2933371,PCOLCE,1.283074040452606e-79,1.7940546,ZEB2,2.160718328956282e-111,0.5293697,PRDM1,1.433823498040609e-88,1.1153193,DSP,7.858580687401996e-298,1.0087315,DMKN,2.7979012507278795e-80,1.973042,SFRP4,3.134729118205764e-98,0.96573365,ZEB2,4.436314465621147e-30,0.43845674,SERPINB9,6.884634439803094e-60,0.9960008,SH3YL1,1.4485045755984912e-194,1.1376339,TFAP2A,1.0762607706187717e-226,1.6339645,CCND1,1.3582007386988385e-26,0.5636626,MMP2,1.8088838760894924e-18,0.4795195
USP53,0.0,1.4737504,LDHB,1.52617107208978e-262,0.63585854,POSTN,0.0,0.90117913,SOX17,0.0,4.6620145,POLR2J3,1.302590492496943e-246,0.3837823,CCND1,0.0,1.0936555,FBLN1,5.091775085937488e-246,0.9710509,CCDC6,0.0,1.0439944,LDHB,1.482412010036629e-75,0.5100622,CAV1,1.4359274555544373e-105,0.45241058,LYZ,1.458364384785905e-85,0.78222847,BASP1,1.8293544667397253e-281,0.9438606,GLIPR1,1.071736554816101e-79,0.70799476,AQP3,2.6237438048108432e-73,2.062098,SLAMF7,2.585951587488828e-29,0.84207696,CD79B,2.7601959693804917e-55,4.1997347,CXCL16,7.808533544861937e-194,1.4900534,KLF5,1.6012038221209033e-218,1.7299504,SLAMF1,1.872071877040996e-26,1.4986626,EIF4EBP1,2.2686769355171223e-18,1.500202
ENAH,0.0,1.2112217,TCEAL7,1.023471624847583e-231,2.2106366,LUM,0.0,0.94895667,EGFL7,0.0,4.636533,ADGRE5,2.1279919078225357e-241,1.664429,AGR3,0.0,2.0859287,LPXN,8.680832444432312e-219,1.2038994,TPD52,0.0,1.0630035,BACE2,1.7068677399143994e-58,0.76002365,PCOLCE,1.4065047229260989e-98,1.6522568,SMAP2,5.525865237077265e-83,0.93414664,SH3YL1,3.4472900453930023e-276,1.0940161,C5orf46,6.747628964548108e-76,3.449401,LPXN,8.987736759618017e-69,0.8948358,LY86,5.091665417176368e-29,1.8239439,CD86,3.3427453332662304e-50,1.4597846,SVIL,1.1457150042201485e-175,0.99978596,PTN,3.0641054449914263e-212,1.6299428,SERPINB9,4.5354513502400905e-24,0.8275064,SLC5A6,5.723082564615168e-18,0.8841631
DSP,0.0,1.2838689,CCPG1,9.49902703279991e-202,0.60922474,CCDC80,0.0,0.8330437,LDHB,5.491002203794707e-305,0.8764234,TOMM7,2.057126530626902e-238,0.3467771,SLC5A6,0.0,1.4769508,ERN1,1.585142174522042e-218,1.0704978,TRAF4,0.0,1.3779929,PRDM1,1.2699625402851551e-57,0.51174885,MEDAG,1.4224055586479013e-96,1.2734567,SLAMF1,3.4332708728122324e-82,1.6530746,PCLAF,5.853999538567367e-258,1.6202556,PGR,3.5146599408048566e-71,2.8150632,SMAP2,2.6452782131275022e-68,0.7082493,GPR183,6.2763456466831875e-21,0.55470616,LILRA4,9.909807283402991e-49,4.601908,PIGR,1.8505193247591816e-174,5.51663,SFRP1,2.0142781592042874e-196,1.1429442,HMGA1,2.837092360650608e-23,0.91606987,LUM,8.609588663910517e-15,0.7412447
PCLAF,0.0,2.1729724,S100A4,7.022573745096068e-182,0.46895596,PECAM1,8.775554110558881e-308,0.8147722,BACE2,6.016828951477528e-305,1.4927646,SERPINB9,5.796819872985171e-211,1.2617694,SERPINA3,0.0,1.5691437,LYZ,1.7547180175757368e-211,0.74580103,CD9,0.0,1.0587015,PDE4A,1.9789927483334044e-53,1.0395391,LRRC15,9.033258728158405e-95,1.4000757,TUBA4A,5.784408023505691e-80,0.9619011,TFAP2A,3.4127084362398767e-255,1.2431018,CDH1,2.986618944954243e-56,0.46570203,POSTN,2.687504767713033e-62,0.5488748,GLIPR1,8.511077842226331e-20,0.5034944,LY86,5.403962070299836e-44,2.733756,TPD52,2.3991428197411217e-168,0.8846412,KRT15,4.131554182886632e-189,1.6090598,FASN,4.6548399064085416e-23,0.60645854,C1QC,5.371031486095867e-14,0.60782474
TPD52,0.0,1.1462903,ALDH1A3,5.779998972611624e-180,1.4445592,CX3CR1,2.399657459170061e-302,3.0164502,RAPGEF3,4.253007149960031e-300,3.0373209,CD27,1.1943848607618271e-188,2.3674428,RHOH,0.0,1.2955451,ADGRE5,6.992651541324889e-209,1.1815631,NARS,0.0,0.8290775,WARS,2.630441719400329e-51,0.59651774,ACTA2,1.8045801462100485e-92,0.39153478,LUM,1.2604369603465412e-78,0.66851646,SLC5A6,1.0302500407672337e-210,1.1198587,JUP,8.710865105411912e-56,0.8515228,IGF1,8.690667005462553e-62,0.6449398,LPXN,5.1943069992212175e-17,0.5238005,LUM,1.89683171592859e-43,0.6012048,CEACAM6,1.5179694659768046e-160,1.0767058,RHOH,1.1320217808359041e-166,1.2747513,GLIPR1,5.585938134449609e-20,0.746395,RAB30,1.7790235888405213e-13,0.9390693
SQLE,0.0,1.6495773,CD163,2.7069179694658704e-175,0.60956335,FCER1A,2.3329134503007045e-230,3.078981,AVPR1A,6.648298934630967e-289,4.027634,LYZ,1.0693558563946967e-185,0.93491244,AR,0.0,1.2996538,SELL,4.351379329895345e-205,1.4585472,SMS,0.0,0.88466287,PIM1,2.506678962698261e-50,0.80032784,ALDH1A3,2.0249141914653208e-80,1.1701475,TCF7,9.774758794509626e-78,1.6335783,ZNF562,7.767107108971976e-199,0.9154952,CEACAM6,3.953271080641444e-52,0.3904617,ADGRE5,1.299159799738581e-61,0.8610843,PTPRC,1.5182309519635849e-15,0.20351751,PLD4,9.378967840631386e-43,3.6053026,EGFR,9.760230203980118e-159,1.3104479,FLNB,5.4267516074664055e-145,0.9740165,ERBB2,2.801681843521906e-15,0.48603517,CCPG1,8.363337491715611e-13,0.5327785
KLF5,0.0,1.6607348,PPARG,2.844757794581652e-162,0.98122644,IGF1,8.978211290736635e-190,0.73405474,DST,3.2430113985870025e-282,0.6764022,TUBA4A,2.3973783270085785e-158,1.1828568,QARS,0.0,1.0475826,TCF7,6.579470572936168e-184,1.5821856,SERHL2,0.0,1.1865429,TCEAL7,1.722208193874527e-38,1.4983947,FSTL3,9.719074605608248e-80,1.2603211,PIM1,6.759181708286088e-76,1.3785098,POLR2J3,4.511885697415957e-183,0.52905124,TRAPPC3,1.736791381234763e-41,0.4570674,WARS,3.298464877917195e-60,0.70016,LPL,8.09769117610432e-13,0.80608463,LYZ,1.107114506141948e-42,0.61999434,GATA3,1.968178570244205e-150,0.8876974,MYO5B,3.806363297326761e-136,1.0487571,APOC1,7.153393068195449e-13,1.284855,CD68,1.1114730875361299e-12,0.43737498
