niche,Bmp4 GP/Vegfb GP+ Lateral Plate Mesoderm,Bmp8a GP/9-cis-Ret. acid GP+ Splanchnic Mesoderm,Calca GP/Shh GP+ Floor Plate,Cdh13 GP/Col1a1 GP+ Mixed mesenchymal mesoderm,Cthrc1 GP/Pdgfc GP+ Dorsal Gut,Edn1 GP/Nppa1 GP+ Developing Heart,Epo GP/Thpo GP+ Hematopoiesis,Fgf17 GP/Efna2 GP+ Midbrain,Fgf18 GP/Dll1 GP+ Presomitic Mesoderm,Gdf10 GP/Fgf3 GP+ Hindbrain,Guanine GP/Slitrk1 GP+ Neural Crest (Neural Tube),IL10 GP/Fgf2 GP+ Angiogenesis,Ihh GP/Spint1 GP+ Ventral Gut,Mix,Nptn GP/Fgf8 GP+ Spinal cord,Pcsk1n GP/Dkk1 GP+ Forebrain,Pgf GP/Cd44 GP+ Allantois,Saa1 GP/Il6st GP+ Muscles,Sfrp4 GP/Pdgfa GP+ Surface Ectoderm,Tgfbi GP/Fgf6 GP+ Cranial Mesoderm
Guanine GP/Slitrk1 GP+ Neural Crest (Neural Tube),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL10 GP/Fgf2 GP+ Angiogenesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ihh GP/Spint1 GP+ Ventral Gut,0.0,0.0,0.0,0.0,0.0002860202140827004,0.0,0.0,0.0,0.004817596134962731,0.0,0.0,0.0,0.0007911171543138306,0.0,0.0,0.0001026442818952168,0.0,0.0034822796563329463,0.0,0.0
Mix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nptn GP/Fgf8 GP+ Spinal cord,0.0,5.035890591903384,0.6767714300026367,0.18965485662378376,12.831810550513108,0.0,0.0,0.006119306923647651,0.0,0.029494689981886747,0.0,0.0,0.4763581186409253,0.07374650533975091,17.19477118697654,0.0008616447574566948,0.0,0.23576206445972508,0.0,0.004806842879630336
Pcsk1n GP/Dkk1 GP+ Forebrain,0.0,0.0,1.3309392428572715,0.0,0.0,0.0,0.0,0.02208072973246281,0.0,0.0,1.9316862899907806e-06,0.0,0.0,0.0,0.0,1.002373250568556,0.0,0.0,0.011749509396613789,0.0
Pgf GP/Cd44 GP+ Allantois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saa1 GP/Il6st GP+ Muscles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sfrp4 GP/Pdgfa GP+ Surface Ectoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tgfbi GP/Fgf6 GP+ Cranial Mesoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
